"Ranks","TV Show Title","Rating","Number of People Voted","Number of Episodes","Year Released","User Reviews","Critic Reviews","Popularity Review"
"1"," Breaking Bad","9.5"," (2.2M)",62,2008,NA,NA,NA
"2"," Planet Earth II","9.5"," (163K)",6,2016,NA,NA,NA
"3"," Planet Earth","9.4"," (225K)",11,2006,NA,NA,NA
"4"," Band of Brothers","9.4"," (548K)",10,2001,NA,NA,NA
"5"," Chernobyl","9.3"," (913K)",5,2019,NA,NA,NA
"6"," The Wire","9.3"," (393K)",60,2002,NA,NA,NA
"7"," Avatar: The Last Airbender","9.3"," (392K)",62,2005,NA,NA,NA
"8"," Blue Planet II","9.3"," (50K)",7,2017,NA,NA,NA
"9"," The Sopranos","9.2"," (502K)",86,1999,NA,NA,NA
"10"," Cosmos: A Spacetime Odyssey","9.2"," (132K)",13,2014,NA,NA,NA
"11"," Cosmos","9.3"," (47K)",13,1980,NA,NA,NA
"12"," Our Planet","9.2"," (55K)",12,2019,NA,NA,NA
"13"," Game of Thrones","9.2"," (2.4M)",74,2011,NA,NA,NA
"14"," Bluey","9.3"," (35K)",194,2018,NA,NA,NA
"15"," The World at War","9.2"," (32K)",26,1973,NA,NA,NA
"16"," Fullmetal Alchemist Brotherhood","9.1"," (211K)",68,2009,NA,NA,NA
"17"," Rick and Morty","9.1"," (630K)",78,2013,NA,NA,NA
"18"," Life","9.1"," (45K)",11,2009,NA,NA,NA
"19"," The Last Dance","9.0"," (161K)",10,2020,NA,NA,NA
"20"," The Twilight Zone","9.0"," (98K)",156,1959,NA,NA,NA
"21"," The Vietnam War","9.1"," (30K)",10,2017,NA,NA,NA
"22"," Sherlock","9.1"," (1M)",15,2010,NA,NA,NA
"23"," Attack on Titan","9.1"," (569K)",98,2013,NA,NA,NA
"24"," Batman: The Animated Series","9.0"," (123K)",85,1992,NA,NA,NA
"25"," Arcane","9.1"," (348K)",18,2021,NA,NA,NA
NA,NA,NA,NA,62,NA,NA,NA,NA
NA,NA,NA,NA,6,NA,NA,NA,NA
NA,NA,NA,NA,11,NA,NA,NA,NA
NA,NA,NA,NA,10,NA,NA,NA,NA
NA,NA,NA,NA,5,NA,NA,NA,NA
NA,NA,NA,NA,60,NA,NA,NA,NA
NA,NA,NA,NA,62,NA,NA,NA,NA
NA,NA,NA,NA,7,NA,NA,NA,NA
NA,NA,NA,NA,86,NA,NA,NA,NA
NA,NA,NA,NA,13,NA,NA,NA,NA
NA,NA,NA,NA,13,NA,NA,NA,NA
NA,NA,NA,NA,12,NA,NA,NA,NA
NA,NA,NA,NA,74,NA,NA,NA,NA
NA,NA,NA,NA,194,NA,NA,NA,NA
NA,NA,NA,NA,26,NA,NA,NA,NA
NA,NA,NA,NA,68,NA,NA,NA,NA
NA,NA,NA,NA,78,NA,NA,NA,NA
NA,NA,NA,NA,11,NA,NA,NA,NA
NA,NA,NA,NA,10,NA,NA,NA,NA
NA,NA,NA,NA,156,NA,NA,NA,NA
NA,NA,NA,NA,10,NA,NA,NA,NA
NA,NA,NA,NA,15,NA,NA,NA,NA
NA,NA,NA,NA,98,NA,NA,NA,NA
NA,NA,NA,NA,85,NA,NA,NA,NA
NA,NA,NA,NA,18,NA,NA,NA,NA
